"H",1,1,2,-6,106,7
"H",1,1,2,-7,38,1
"H",1,1,2,-8,13,1
"H",1,1,2,-9,11,0
"H",1,1,2,0,34417,20609
"H",1,1,2,1,4729,3308
"H",1,1,2,11,1,1
"H",1,1,2,2,1901,1490
"H",1,1,2,3,833,701
"H",1,1,2,4,388,356
"H",1,1,2,5,115,108
"H",1,1,2,6,60,58
"H",1,1,2,7,10,10
"H",1,1,2,8,2,2
"H",1,1,2,9,2,2
"H",1,1,3,-1,3379,1665
"H",1,1,3,-10,3,1
"H",1,1,3,-2,1511,619
"H",1,1,3,-3,683,226
"H",1,1,3,-4,284,59
"H",1,1,3,-5,118,23
"H",1,1,3,-6,30,3
"H",1,1,3,-7,10,2
"H",1,1,3,-8,4,1
"H",1,1,3,-9,2,0
"H",1,1,3,0,15817,9682
"H",1,1,3,1,3519,2494
"H",1,1,3,11,1,1
"H",1,1,3,13,1,1
"H",1,1,3,2,1470,1141
"H",1,1,3,3,612,508
"H",1,1,3,4,276,247
"H",1,1,3,5,98,90
"H",1,1,3,6,34,33
"H",1,1,3,7,14,14
"H",1,1,3,8,3,3
"H",1,1,4,-1,2608,1338
"H",1,1,4,-10,3,0
"H",1,1,4,-11,2,0
"H",1,1,4,-2,1282,588
"H",1,1,4,-3,629,203
"H",1,1,4,-4,271,72
"H",1,1,4,-5,110,16
"H",1,1,4,-6,45,1
"H",1,1,4,-7,11,0
"H",1,1,4,-8,2,0
"H",1,1,4,-9,2,0
"H",1,1,4,0,10909,6945
"H",1,1,4,1,3121,2254
"H",1,1,4,11,1,1
"H",1,1,4,14,1,1
"H",1,1,4,2,1372,1090
"H",1,1,4,3,588,516
"H",1,1,4,4,247,219
"H",1,1,4,5,100,94
"H",1,1,4,6,25,24
"H",1,1,4,7,8,8
"H",1,1,4,8,3,3
"H",1,1,4,9,2,2
"H",1,1,5,-1,1357,729
"H",1,1,5,-2,601,265
"H",1,1,5,-3,255,76
"H",1,1,5,-4,129,24
"H",1,1,5,-5,30,5
"H",1,1,5,-6,17,4
"H",1,1,5,-7,6,0
"H",1,1,5,-8,3,0
"H",1,1,5,-9,1,0
"H",1,1,5,0,6022,3854
"H",1,1,5,1,1797,1322
"H",1,1,5,2,678,557
"H",1,1,5,3,289,248
"H",1,1,5,4,114,103
"H",1,1,5,5,40,38
"H",1,1,5,6,13,13
"H",1,1,5,7,5,5
"H",1,1,5,8,1,1
"H",1,1,6,-1,1363,760
"H",1,1,6,-2,631,295
"H",1,1,6,-3,282,93
"H",1,1,6,-4,124,23
"H",1,1,6,-5,51,11
"H",1,1,6,-6,14,0
"H",1,1,6,-7,12,2
"H",1,1,6,-8,1,0
"H",1,1,6,0,5567,3701
"H",1,1,6,1,2218,1640
"H",1,1,6,10,2,2
"H",1,1,6,13,1,1
"H",1,1,6,2,880,716
"H",1,1,6,3,384,337
"H",1,1,6,4,168,154
"H",1,1,6,5,70,64
"H",1,1,6,6,17,16
"H",1,1,6,7,7,7
"H",1,1,6,8,2,2
"H",1,1,6,9,3,3
"H",1,1,7,-1,828,474
"H",1,1,7,-10,1,0
"H",1,1,7,-2,420,210
"H",1,1,7,-3,199,76
"H",1,1,7,-4,84,23
"H",1,1,7,-5,28,10
"H",1,1,7,-6,11,0
"H",1,1,7,-7,4,0
"H",1,1,7,-8,1,0
"H",1,1,7,0,3519,2419
"H",1,1,7,1,1352,1028
"H",1,1,7,2,644,530
"H",1,1,7,3,271,235
"H",1,1,7,4,92,84
"H",1,1,7,5,40,39
"H",1,1,7,6,8,7
"H",1,1,7,7,5,5
"H",1,1,8,-1,780,473
"H",1,1,8,-2,399,193
"H",1,1,8,-3,171,73
"H",1,1,8,-4,106,30
"H",1,1,8,-5,32,2
"H",1,1,8,-6,9,0
"H",1,1,8,-7,8,0
"H",1,1,8,-9,1,0
"H",1,1,8,0,3357,2339
"H",1,1,8,1,1588,1223
"H",1,1,8,10,1,1
"H",1,1,8,14,1,1
"H",1,1,8,2,695,590
"H",1,1,8,3,311,274
"H",1,1,8,4,98,96
"H",1,1,8,5,35,32
"H",1,1,8,6,11,10
"H",1,1,8,7,6,6
"H",1,1,8,8,2,2
"H",1,1,8,9,3,3
"H",1,2,1,-1,13297,5732
"H",1,2,1,-10,7,0
"H",1,2,1,-11,3,0
"H",1,2,1,-12,1,0
"H",1,2,1,-2,6302,2047
"H",1,2,1,-3,2874,695
"H",1,2,1,-4,1259,186
"H",1,2,1,-5,492,57
"H",1,2,1,-6,152,11
"H",1,2,1,-7,51,1
"H",1,2,1,-8,17,0
"H",1,2,1,-9,13,0
"H",1,2,1,0,60781,33258
"H",1,2,1,1,7302,4818
"H",1,2,1,10,3,3
"H",1,2,1,11,3,3
"H",1,2,1,12,1,1
"H",1,2,1,13,1,1
"H",1,2,1,14,1,1
"H",1,2,1,2,4143,3123
"H",1,2,1,3,2211,1845
"H",1,2,1,4,915,802
"H",1,2,1,5,368,344
"H",1,2,1,6,124,115
"H",1,2,1,7,46,45
"H",1,2,1,8,19,18
"H",1,2,1,9,13,13
"H",1,2,2,-1,6959,3090
"H",1,2,2,-10,3,0
"H",1,2,2,-2,3469,1135
"H",1,2,2,-3,1597,379
"H",1,2,2,-4,703,111
"H",1,2,2,-5,268,25
"H",1,2,2,-6,91,7
"H",1,2,2,-7,30,0
"H",1,2,2,-8,9,0
"H",1,2,2,-9,8,0
"H",1,2,2,0,30307,17121
"H",1,2,2,1,7465,4971
"H",1,2,2,10,4,4
"H",1,2,2,11,2,2
"H",1,2,2,12,2,2
"H",1,2,2,2,3591,2765
"H",1,2,2,3,1685,1401
"H",1,2,2,4,751,668
"H",1,2,2,5,262,247
"H",1,2,2,6,117,111
"H",1,2,2,7,58,54
"H",1,2,2,8,15,14
"H",1,2,2,9,8,8
"H",1,2,3,-1,3479,1596
"H",1,2,3,-10,2,0
"H",1,2,3,-11,1,0
"H",1,2,3,-2,1563,571
"H",1,2,3,-3,792,200
"H",1,2,3,-4,288,43
"H",1,2,3,-5,115,27
"H",1,2,3,-6,32,3
"H",1,2,3,-7,9,0
"H",1,2,3,-8,7,1
"H",1,2,3,-9,3,0
"H",1,2,3,0,15283,8825
"H",1,2,3,1,5563,3760
"H",1,2,3,10,4,4
"H",1,2,3,11,2,2
"H",1,2,3,2,2794,2124
"H",1,2,3,3,1337,1106
"H",1,2,3,4,633,574
"H",1,2,3,5,234,212
"H",1,2,3,6,111,103
"H",1,2,3,7,35,35
"H",1,2,3,8,15,15
"H",1,2,3,9,6,6
"H",1,2,4,-1,2771,1292
"H",1,2,4,-10,1,0
"H",1,2,4,-11,1,0
"H",1,2,4,-2,1435,532
"H",1,2,4,-3,673,169
"H",1,2,4,-4,269,52
"H",1,2,4,-5,112,18
"H",1,2,4,-6,35,2
"H",1,2,4,-7,10,0
"H",1,2,4,-8,5,0
"H",1,2,4,-9,3,0
"H",1,2,4,0,11766,6897
"H",1,2,4,1,4743,3226
"H",1,2,4,10,6,6
"H",1,2,4,11,3,3
"H",1,2,4,14,1,1
"H",1,2,4,2,2374,1863
"H",1,2,4,3,1072,911
"H",1,2,4,4,525,476
"H",1,2,4,5,165,154
"H",1,2,4,6,82,79
"H",1,2,4,7,45,45
"H",1,2,4,8,12,11
"H",1,2,4,9,6,6
"H",1,2,5,-1,1582,741
"H",1,2,5,-10,1,0
"H",1,2,5,-2,690,261
"H",1,2,5,-3,297,97
"H",1,2,5,-4,142,26
"H",1,2,5,-5,49,7
"H",1,2,5,-6,16,2
"H",1,2,5,-7,9,1
"H",1,2,5,-8,1,0
"H",1,2,5,-9,1,0
