"H",1,0,1,1,1,1,485,346
"H",1,0,1,1,1,2,325,225
"H",1,0,1,1,2,0,191,139
"H",1,0,1,1,2,1,253,194
"H",1,0,1,1,2,2,263,187
"H",1,0,1,1,3,0,83,57
"H",1,0,1,1,3,1,139,106
"H",1,0,1,1,3,2,171,128
"H",1,0,1,2,0,0,664,509
"H",1,0,1,2,0,1,219,169
"H",1,0,1,2,0,2,76,59
"H",1,0,1,2,1,0,174,134
"H",1,0,1,2,1,1,182,142
"H",1,0,1,2,1,2,118,85
"H",1,0,1,2,2,0,71,53
"H",1,0,1,2,2,1,101,82
"H",1,0,1,2,2,2,104,76
"H",1,0,1,2,3,0,29,24
"H",1,0,1,2,3,1,48,43
"H",1,0,1,2,3,2,61,52
"H",1,0,1,3,0,0,400,330
"H",1,0,1,3,0,1,119,94
"H",1,0,1,3,0,2,46,34
"H",1,0,1,3,1,0,113,92
"H",1,0,1,3,1,1,111,90
"H",1,0,1,3,1,2,87,71
"H",1,0,1,3,2,0,33,27
"H",1,0,1,3,2,1,54,41
"H",1,0,1,3,2,2,61,44
"H",1,0,1,3,3,0,11,10
"H",1,0,1,3,3,1,27,23
"H",1,0,1,3,3,2,36,30
"H",1,0,1,4,0,0,188,172
"H",1,0,1,4,0,1,62,57
"H",1,0,1,4,0,2,25,22
"H",1,0,1,4,1,0,48,45
"H",1,0,1,4,1,1,41,38
"H",1,0,1,4,1,2,35,32
"H",1,0,1,4,2,0,16,15
"H",1,0,1,4,2,1,25,24
"H",1,0,1,4,2,2,32,30
"H",1,0,1,4,3,0,4,3
"H",1,0,1,4,3,1,13,11
"H",1,0,1,4,3,2,24,22
"H",1,0,1,5,0,0,48,47
"H",1,0,1,5,0,1,13,13
"H",1,0,1,5,0,2,3,3
"H",1,0,1,5,1,0,12,11
"H",1,0,1,5,1,1,14,14
"H",1,0,1,5,1,2,8,8
"H",1,0,1,5,2,0,5,4
"H",1,0,1,5,2,1,7,7
"H",1,0,1,5,2,2,8,8
"H",1,0,1,5,3,0,1,1
"H",1,0,1,5,3,1,3,3
"H",1,0,1,5,3,2,5,5
"H",1,0,1,6,0,0,12,11
"H",1,0,1,6,0,1,1,1
"H",1,0,1,6,0,2,1,1
"H",1,0,1,6,1,0,2,2
"H",1,0,1,6,1,1,1,1
"H",1,0,1,6,1,2,2,2
"H",1,0,1,7,0,0,4,4
"H",1,0,1,7,0,1,1,1
"H",1,0,1,7,1,0,1,1
"H",1,0,1,8,0,0,3,3
"H",1,0,1,8,0,1,3,3
"H",1,0,1,8,1,1,1,1
"H",1,0,1,8,2,1,1,1
